title,vol,pub_date,n_rev,stars
弱虫ペダル,48,2017/01/06,8,4.6
囚人リク,31,2017/01/06,2,2.5
実は私は,20,2016/12/08,7,5.0
ハリガネサービス,13,2016/12/08,1,5.0
鮫島、最後の十五日,10,2016/12/08,3,5.0
魔法少女・オブ・ジ・エンド,13,2016/12/08,1,2.0
絢爛たるグランドセーヌ,7,2016/10/20,12,4.7
はじめの一歩,116,2016/12/16,16,2.2
ダイヤのA act2,5,2016/10/17,6,5.0
ベイビーステップ,43,2017/01/17,6,4.7
七つの大罪,24,2016/12/16,15,3.5
VECTOR BALL,3,2016/12/16,6,4.2
進撃の巨人,21,2016/12/09,105,4.5
ふらいんぐうぃっち,5,2016/11/09,24,4.9
アルスラーン戦記,6,2016/11/09,4,4.5
アホガール,8,2016/10/07,5,4.6
ノラガミ,17,2016/07/15,7,4.3
ボールルームへようこそ,8,2015/10/16,28,4.8
さよなら私のクラマー,2,2017/01/17,5,4.8
宇宙兄弟,30,2017/01/23,12,4.2
へうげもの,23,2016/12/22,5,5.0
バガボンド,37,2014/07/23,57,4.1
ひらけ駒!,8,2013/01/23,3,4.7
CITY,0,,0,
ヒストリエ,9,2015/05/22,61,4.7
おおきく振りかぶって,27,2016/07/22,26,4.9
ヴィンランド・サガ,18,2016/08/23,35,4.7
ウィッチクラフトワークス,10,2016/11/07,11,4.5
亜人,9,2016/10/07,24,4.7
甘々と稲妻,8,2017/01/06,11,4.9
はねバド!,9,2016/12/07,5,4.6
いぬやしき,8,2017/01/23,33,3.2
累,10,2016/12/22,2,5.0
少女ファイト,13,2016/05/23,10,3.5
JJM 女子柔道部物語,1,2016/12/22,16,4.7
妖怪番長,5,2016/10/21,1,1.0
監獄学園,23,2016/11/04,78,2.3
彼岸島 48日後…,10,2017/01/06,5,4.6
ちこたん、こわれる,6,2017/01/06,0,
手品先輩,2,2016/12/06,12,4.3
亜人ちゃんは語りたい,4,2016/09/20,23,4.7
さばげぶっ!,12,2016/11/11,6,4.7
ちはやふる,33,2016/10/13,28,4.4
トモちゃんは女の子,4,2017/01/26,3,5.0
ONE PIECE,84,2017/02/03,9,5.0
HUNTER×HUNTER,33,2016/06/03,212,4.7
トリコ,43,2016/12/31,21,4.2
ハイキュー!!,24,2016/12/02,20,4.6
斉木楠雄のサイ難,20,2016/12/31,3,5.0
食戟のソーマ,22,2016/12/31,23,3.3
ワールドトリガー,17,2016/12/02,29,4.5
火ノ丸相撲,13,2017/02/03,4,4.0
僕のヒーローアカデミア,12,2017/02/03,6,2.0
ブラッククローバー,9,2016/12/02,16,3.0
背すじをピン!と～鹿高競技ダンス部へようこそ～,9,2017/02/03,1,5.0
左門くんはサモナー,7,2016/12/31,8,4.6
鬼滅の刃,4,2016/12/02,28,4.7
ファイアパンチ,3,2016/12/02,15,4.3
悪魔のメムメムちゃん,1,2016/11/04,25,4.6
新テニスの王子様,19,2016/10/04,3,4.7
終わりのセラフ,13,2016/12/31,3,3.7
キングダム,45,2017/01/19,21,4.8
テラフォーマーズ,19,2016/11/18,16,3.8
干物妹!うまるちゃん,9,2016/11/18,39,3.2
群青戦記 グンジョーセンキ,13,2016/11/18,0,
ゴールデンカムイ,9,2016/11/18,35,4.8
東京喰種 トーキョーグール：re,9,2016/12/19,59,3.2
かぐや様は告らせたい～天才たちの恋愛頭脳戦～,4,2017/01/19,10,4.9
ワンパンマン,12,2016/12/02,24,4.0
君に届け,27,2016/09/23,24,4.5
高台家の人々,5,2016/05/25,42,4.8
アシガール,8,2016/12/22,17,4.6
名探偵コナン,91,2016/12/16,10,4.5
銀の匙 Silver Spoon,13,2015/06/18,41,4.2
湯神くんには友達がいない,10,2016/10/18,7,3.9
だがしかし,6,2016/10/18,23,4.4
MAJOR 2nd,7,2016/11/18,8,4.3
古見さんは、コミュ症です。,2,2016/12/16,12,5.0
アサギロ 浅葱狼,14,2016/08/12,4,4.5
MIX,10,2016/12/12,6,4.2
放課後さいころ倶楽部,8,2016/10/12,10,4.7
からかい上手の高木さん,4,2016/10/12,51,4.9
BLUE GIANT SUPREME,0,,0,
土竜の唄,52,2016/12/12,1,5.0
アイアム ア ヒーロー,21,2016/10/28,57,2.0
あさひなぐ,21,2016/11/30,15,4.9
白暮のクロニクル,10,2017/01/30,6,3.8
デッドデッドデーモンズデデデデデストラクション,5,2016/09/30,10,4.5
イチゴーイチハチ!,3,2016/11/30,5,5.0
私たち、結婚しました,1,2016/10/28,0,
スローモーションをもう一度,2,2017/01/30,3,5.0
恋は雨上がりのように,6,2016/10/12,17,4.5
重版出来!,8,2016/08/30,11,4.5
7SEEDS,33,2017/01/10,7,4.7
賭ケグルイ,5,2016/05/21,8,3.8
私がモテないのはどう考えてもお前らが悪い!,10,2016/10/22,18,4.7
月刊少女野崎くん,8,2016/08/22,21,4.9
ばらかもん,14,2016/12/12,15,3.9
